k_min_1,a_t,euler_AIO,euler_linear
1.2523422,1.0,0.0002863407,0.0001500845
1.2545087,1.0,0.00028657913,0.00014102459
1.2566751,1.0,0.00028681755,0.00013232231
1.2588416,1.0,0.00028693676,0.00012385845
1.2610081,1.0,0.00028657913,0.00011575222
1.2631745,1.0,0.0002861023,0.000108003616
1.265341,1.0,0.00028574467,0.00010049343
1.2675076,1.0,0.00028514862,9.357929e-05
1.2696741,1.0,0.00028455257,8.666515e-05
1.2718405,1.0,0.00028336048,8.022785e-05
1.274007,1.0,0.00028252602,7.426739e-05
1.2761735,1.0,0.00028145313,6.830692e-05
1.2783399,1.0,0.0002799034,6.2823296e-05
1.2805064,1.0,0.0002783537,5.7697296e-05
1.2826729,1.0,0.00027692318,5.2928925e-05
1.2848393,1.0,0.00027489662,4.839897e-05
1.2870058,1.0,0.0002732277,4.4107437e-05
1.2891723,1.0,0.00027132034,4.017353e-05
1.2913387,1.0,0.000269413,3.671646e-05
1.2935052,1.0,0.0002670288,3.33786e-05
1.2956717,1.0,0.00026500225,3.027916e-05
1.2978381,1.0,0.00026249886,2.7537346e-05
1.3000046,1.0,0.00025999546,2.5391579e-05
1.3021711,1.0,0.00025725365,2.3126602e-05
1.3043375,1.0,0.00025475025,2.1338463e-05
1.306504,1.0,0.00025200844,1.9907951e-05
1.3086705,1.0,0.000248909,1.8715858e-05
1.310837,1.0,0.00024592876,1.7642975e-05
1.3130034,1.0,0.00024294853,1.7046928e-05
1.3151699,1.0,0.00023972988,1.680851e-05
1.3173364,1.0,0.00023651123,1.680851e-05
1.3195028,1.0,0.00023317337,1.692772e-05
1.3216693,1.0,0.00022983551,1.7404556e-05
1.3238358,1.0,0.00022637844,1.835823e-05
1.3260022,1.0,0.00022292137,1.9431114e-05
1.3281687,1.0,0.0002193451,2.0623207e-05
1.3303353,1.0,0.0002156496,2.2411346e-05
1.3325016,1.0,0.00021195412,2.4318695e-05
1.3346682,1.0,0.00020825863,2.6464462e-05
1.3368347,1.0,0.00020456314,2.8967857e-05
1.339001,1.0,0.00020074844,3.159046e-05
1.3411676,1.0,0.00019681454,3.4689903e-05
1.3433341,1.0,0.00019264221,3.8027763e-05
1.3455005,1.0,0.0001887083,4.1604042e-05
1.347667,1.0,0.0001847744,4.541874e-05
1.3498335,1.0,0.00018048286,4.9471855e-05
1.352,1.0,0.00017631054,5.376339e-05
1.3541664,1.0,0.00017249584,5.8293343e-05
1.3563329,1.0,0.0001680851,6.330013e-05
1.3584994,1.0,0.00016391277,6.842613e-05
1.3606658,1.0,0.00015974045,7.390976e-05
1.3628323,1.0,0.00015544891,7.939339e-05
1.3649988,1.0,0.00015091896,8.535385e-05
1.3671652,1.0,0.00014662743,9.1433525e-05
1.3693317,1.0,0.00014233589,9.775162e-05
1.3714982,1.0,0.00013804436,0.00010454655
1.3736646,1.0,0.00013363361,0.000111460686
1.3758311,1.0,0.00012946129,0.00011861324
1.3779976,1.0,0.00012493134,0.00012588501
1.3801641,1.0,0.00012052059,0.0001335144
1.3823305,1.0,0.00011599064,0.00014150143
1.384497,1.0,0.000111579895,0.00014948845
1.3866636,1.0,0.00010740757,0.00015795231
1.38883,1.0,0.000103116035,0.00016653538
1.3909965,1.0,9.88245e-05,0.00017541647
1.393163,1.0,9.429455e-05,0.00018447638
1.3953294,1.0,8.9764595e-05,0.00019389391
1.3974959,1.0,8.571148e-05,0.00020331144
1.3996624,1.0,8.094311e-05,0.0002130866
1.4018288,1.0,7.70092e-05,0.0002232194
1.4039953,1.0,7.247925e-05,0.0002334714
1.4061618,1.0,6.830692e-05,0.00024396181
1.4083282,1.0,6.401539e-05,0.00025469065
1.4104947,1.0,5.9962273e-05,0.0002655387
1.4126612,1.0,5.555153e-05,0.00027686357
1.4148276,1.0,5.1498413e-05,0.00028818846
1.4169941,1.0,4.720688e-05,0.00029981136
1.4191606,1.0,4.339218e-05,0.00031161308
1.4213271,1.0,3.9100647e-05,0.00032365322
1.4234935,1.0,3.528595e-05,0.00033593178
1.42566,1.0,3.1352043e-05,0.00034856796
1.4278265,1.0,2.7179718e-05,0.00036108494
1.4299929,1.0,2.336502e-05,0.00037419796
1.4321594,1.0,1.9431114e-05,0.00038725138
1.4343259,1.0,1.5497208e-05,0.0004004836
1.4364923,1.0,1.1920929e-05,0.0004143119
1.4386588,1.0,8.106232e-06,0.00042802095
1.4408253,1.0,4.4107437e-06,0.00044208765
1.4429917,1.0,8.34465e-07,0.00045615435
1.4451582,1.0,2.7418137e-06,0.00047063828
1.4473248,1.0,6.0796738e-06,0.00048530102
1.4494913,1.0,9.655952e-06,0.0005002022
1.4516577,1.0,1.2993813e-05,0.00051522255
1.4538242,1.0,1.6331673e-05,0.0005303025
1.4559907,1.0,1.9669533e-05,0.00054579973
1.4581571,1.0,2.2768974e-05,0.00056153536
