k_min_1,a_t,euler_AIO,euler_linear,rep,std,P10,P25,P50,P75,P90
1.031362,1.0,0.0013809204,0.0032525063,4.5,0.0002908129520278384,0.0010595321655273438,0.0012598931789398193,0.0013758540153503418,0.0014596730470657349,0.0015427052974700925
1.0335286,1.0,0.0013459325,0.0031967163,4.5,0.0002904419136222048,0.0010253548622131347,0.0012248605489730835,0.0013402998447418213,0.0014249086380004883,0.0015086412429809568
1.035695,1.0,0.0013114393,0.003141284,4.5,0.00028996855489230944,0.000991678237915039,0.001190468668937683,0.001305311918258667,0.0013904571533203125,0.001474565267562866
1.0378615,1.0,0.0012775719,0.003086567,4.5,0.00028960143630410326,0.0009588837623596191,0.0011567026376724243,0.0012707412242889404,0.0013565272092819214,0.0014414906501770018
1.040028,1.0,0.0012442053,0.0030323863,4.5,0.00028920199858875997,0.0009263753890991211,0.0011233538389205933,0.0012367069721221924,0.001323312520980835,0.001408928632736206
1.0421944,1.0,0.0012113691,0.0029787421,4.5,0.00028874349294711157,0.000894474983215332,0.0010906010866165161,0.001203089952468872,0.0012906044721603394,0.001376897096633911
1.0443609,1.0,0.0011789799,0.002925992,4.5,0.00028832064291870135,0.000863027572631836,0.001058131456375122,0.0011701583862304688,0.0012581348419189453,0.0013452887535095213
1.0465274,1.0,0.0011472047,0.0028735995,4.5,0.00028792944195064473,0.0008321881294250488,0.0010265707969665527,0.0011376142501831055,0.0012264847755432129,0.0013140857219696043
1.0486938,1.0,0.0011158645,0.002821803,4.5,0.00028746030607233844,0.0008019208908081055,0.0009954720735549927,0.0011054277420043945,0.0011953264474868774,0.0012834846973419187
1.0508603,1.0,0.0010849417,0.002770722,4.5,0.00028709942636256843,0.0007718026638031006,0.0009642988443374634,0.0010739564895629883,0.0011645108461380005,0.0012534260749816892
1.0530268,1.0,0.0010545433,0.0027199984,4.5,0.00028660631191143186,0.0007426917552947998,0.0009340792894363403,0.0010428428649902344,0.0011340975761413574,0.0012237250804901121
1.0551932,1.0,0.0010248541,0.0026700497,4.5,0.0002861731146872833,0.0007139444351196289,0.0009045004844665527,0.0010124444961547852,0.0011044740676879883,0.001194643974304199
1.0573597,1.0,0.0009954274,0.002620697,4.5,0.0002857628620813452,0.0006855785846710205,0.0008751451969146729,0.0009824037551879883,0.0010749995708465576,0.0011660218238830566
1.0595262,1.0,0.00096649525,0.0025718808,4.5,0.0002852922115587236,0.0006573975086212158,0.0008462667465209961,0.0009526908397674561,0.0010461211204528809,0.0011381685733795163
1.0616927,1.0,0.0009380877,0.0025234818,4.5,0.00028484748589709715,0.0006301701068878174,0.0008177906274795532,0.0009236037731170654,0.0010178983211517334,0.0011102914810180663
1.0638591,1.0,0.000910157,0.0024757981,4.5,0.0002844331434393484,0.0006031572818756103,0.0007899552583694458,0.0008948743343353271,0.0009900033473968506,0.0010833144187927244
1.0660256,1.0,0.0008827448,0.0024287105,4.5,0.00028395235440884816,0.0005768835544586182,0.0007626116275787354,0.0008668601512908936,0.0009626299142837524,0.0010564863681793212
1.0681921,1.0,0.00085567235,0.0023820996,4.5,0.00028346132118755023,0.000550919771194458,0.0007356405258178711,0.0008390247821807861,0.0009355396032333374,0.0010303318500518798
1.0703585,1.0,0.00082926155,0.002335906,4.5,0.0002830884060876351,0.0005254805088043213,0.0007094889879226685,0.000811845064163208,0.0009093135595321655,0.0010044872760772703
1.072525,1.0,0.00080313085,0.0022904873,4.5,0.000282584316933842,0.0005004823207855225,0.0006832778453826904,0.0007849037647247314,0.0008831173181533813,0.0009793877601623534
1.0746915,1.0,0.00077764393,0.002245605,4.5,0.00028214110854290407,0.0004760086536407471,0.0006578266620635986,0.0007588565349578857,0.0008576810359954834,0.0009545266628265379
1.0768579,1.0,0.0007524073,0.00220114,4.5,0.00028163380169523786,0.00045199990272521974,0.000632554292678833,0.0007328987121582031,0.0008323937654495239,0.0009301602840423582
1.0790244,1.0,0.0007277668,0.0021573305,4.5,0.0002812090365881014,0.00042831301689147947,0.0006080269813537598,0.000707477331161499,0.0008078664541244507,0.0009063005447387694
1.081191,1.0,0.00070352555,0.002113998,4.5,0.0002807363805148306,0.0004052579402923584,0.0005838274955749512,0.0006825923919677734,0.0007836818695068359,0.0008827388286590574
1.0833573,1.0,0.0006796658,0.0020711422,4.5,0.00028022959820325885,0.0003823697566986084,0.0005601048469543457,0.0006578564643859863,0.0007599741220474243,0.000859791040420532
1.0855238,1.0,0.0006563425,0.0020288825,4.5,0.0002797725867231477,0.0003602862358093262,0.000536799430847168,0.0006338953971862793,0.0007367879152297974,0.0008372247219085692
1.0876904,1.0,0.0006334722,0.0019872189,4.5,0.00027928584344473365,0.00033858418464660645,0.000513806939125061,0.0006102919578552246,0.000713840126991272,0.0008152008056640623
1.0898567,1.0,0.00061113836,0.0019459724,4.5,0.00027879694507455127,0.00031754374504089355,0.0004915297031402588,0.0005870461463928223,0.0006916075944900513,0.0007936000823974608
